vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
3W,AMBIKA INDUSTRIES,2025,4,2025-Q4,0,1157,100
3W,AMIR KHAN SAIFI STEEL WORKS,2024,1,2024-Q1,0,,
3W,AMIR KHAN SAIFI STEEL WORKS,2024,2,2024-Q2,0,0,
3W,AMIR KHAN SAIFI STEEL WORKS,2024,3,2024-Q3,8,0,
3W,AMIR KHAN SAIFI STEEL WORKS,2024,4,2024-Q4,13,8,62.5
3W,AMIR KHAN SAIFI STEEL WORKS,2025,1,2025-Q1,32,13,146.15
3W,AMIR KHAN SAIFI STEEL WORKS,2025,2,2025-Q2,42,32,31.25
3W,AMIR KHAN SAIFI STEEL WORKS,2025,3,2025-Q3,104,42,147.62
3W,AMIR KHAN SAIFI STEEL WORKS,2025,4,2025-Q4,0,104,100
3W,AMMANN APOLLO INDIA PVT LTD,2024,1,2024-Q1,74,,
3W,AMMANN APOLLO INDIA PVT LTD,2024,2,2024-Q2,54,74,27.03
3W,AMMANN APOLLO INDIA PVT LTD,2024,3,2024-Q3,34,54,37.04
3W,AMMANN APOLLO INDIA PVT LTD,2024,4,2024-Q4,57,34,67.65
3W,AMO MOBILITY SOLUTIONS PVT LTD,2024,1,2024-Q1,46,,
3W,AMO MOBILITY SOLUTIONS PVT LTD,2024,2,2024-Q2,21,46,54.35
3W,AMO MOBILITY SOLUTIONS PVT LTD,2024,3,2024-Q3,35,21,66.67
3W,AMO MOBILITY SOLUTIONS PVT LTD,2024,4,2024-Q4,20,35,42.86
3W,AMPERE VEHICLES PRIVATE LIMITED,2024,1,2024-Q1,439,,
3W,AMPERE VEHICLES PRIVATE LIMITED,2024,2,2024-Q2,366,439,16.63
3W,AMPERE VEHICLES PRIVATE LIMITED,2024,3,2024-Q3,194,366,46.99
3W,AMPERE VEHICLES PRIVATE LIMITED,2024,4,2024-Q4,90,194,53.61
3W,AMRIT AGRO INDUSTRIES,2024,1,2024-Q1,2,,
3W,AMRIT AGRO INDUSTRIES,2024,2,2024-Q2,0,2,100
3W,AMRIT AGRO INDUSTRIES,2024,3,2024-Q3,0,0,
3W,AMRIT AGRO INDUSTRIES,2024,4,2024-Q4,0,0,
3W,"AMRIT ENGG WORKS,DKL",2024,1,2024-Q1,13,,
3W,"AMRIT ENGG WORKS,DKL",2024,2,2024-Q2,21,13,61.54
3W,"AMRIT ENGG WORKS,DKL",2024,3,2024-Q3,4,21,80.95
3W,"AMRIT ENGG WORKS,DKL",2024,4,2024-Q4,0,4,100
3W,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2024,1,2024-Q1,0,,
3W,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2024,2,2024-Q2,0,0,
3W,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2024,3,2024-Q3,7,0,
3W,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2024,4,2024-Q4,10,7,42.86
3W,AMW MOTORS LIMITED,2024,1,2024-Q1,0,,
3W,AMW MOTORS LIMITED,2024,2,2024-Q2,0,0,
3W,AMW MOTORS LIMITED,2024,3,2024-Q3,2,0,
3W,AMW MOTORS LIMITED,2024,4,2024-Q4,0,2,100
3W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,1,2024-Q1,7,,
3W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,2,2024-Q2,14,7,100
3W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,3,2024-Q3,11,14,21.43
3W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2024,4,2024-Q4,2,11,81.82
3W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,1,2024-Q1,1,,
3W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,2,2024-Q2,2,1,100
3W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,3,2024-Q3,0,2,100
3W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2024,4,2024-Q4,1,0,
3W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,1,2024-Q1,30,,
3W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,2,2024-Q2,9,30,70
3W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,3,2024-Q3,3,9,66.67
3W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2024,4,2024-Q4,0,3,100
3W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,1,2024-Q1,2,,
3W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,2,2024-Q2,3,2,50
3W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,3,2024-Q3,3,3,0
3W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2024,4,2024-Q4,0,3,100
3W,ANGAD AGRO INDUSTRIES,2024,1,2024-Q1,4,,
3W,ANGAD AGRO INDUSTRIES,2024,2,2024-Q2,0,4,100
3W,ANGAD AGRO INDUSTRIES,2024,3,2024-Q3,0,0,
3W,ANGAD AGRO INDUSTRIES,2024,4,2024-Q4,0,0,
3W,ANICK TRADERS,2025,1,2025-Q1,0,,
3W,ANICK TRADERS,2025,2,2025-Q2,7,0,
3W,ANICK TRADERS,2025,3,2025-Q3,13,7,85.71
3W,ANICK TRADERS,2025,4,2025-Q4,0,13,100
3W,ANJALI AUTO COMPONENTS,2023,1,2023-Q1,2,,
3W,ANJALI AUTO COMPONENTS,2023,2,2023-Q2,9,2,350
3W,ANJALI AUTO COMPONENTS,2023,3,2023-Q3,19,9,111.11
3W,ANJALI AUTO COMPONENTS,2023,4,2023-Q4,32,19,68.42
3W,ANJALI AUTO COMPONENTS,2024,1,2024-Q1,15,32,53.12
3W,ANJALI AUTO COMPONENTS,2024,2,2024-Q2,4,15,73.33
3W,ANJALI AUTO COMPONENTS,2024,3,2024-Q3,28,4,600
3W,ANJALI AUTO COMPONENTS,2024,4,2024-Q4,13,28,53.57
3W,ANJALI AUTO COMPONENTS,2025,1,2025-Q1,12,13,7.69
3W,ANJALI AUTO COMPONENTS,2025,2,2025-Q2,13,12,8.33
3W,ANJALI AUTO COMPONENTS,2025,3,2025-Q3,29,13,123.08
3W,ANJALI AUTO COMPONENTS,2025,4,2025-Q4,0,29,100
3W,ANJALI TRADERS,2023,1,2023-Q1,7,,
3W,ANJALI TRADERS,2023,2,2023-Q2,13,7,85.71
3W,ANJALI TRADERS,2023,3,2023-Q3,24,13,84.62
3W,ANJALI TRADERS,2023,4,2023-Q4,30,24,25
3W,ANJALI TRADERS,2024,1,2024-Q1,22,30,26.67
3W,ANJALI TRADERS,2024,2,2024-Q2,24,22,9.09
3W,ANJALI TRADERS,2024,3,2024-Q3,28,24,16.67
3W,ANJALI TRADERS,2024,4,2024-Q4,33,28,17.86
3W,ANJALI TRADERS,2025,1,2025-Q1,15,33,54.55
3W,ANJALI TRADERS,2025,2,2025-Q2,11,15,26.67
3W,ANJALI TRADERS,2025,3,2025-Q3,58,11,427.27
3W,ANJALI TRADERS,2025,4,2025-Q4,0,58,100
3W,ANKUSH AUTO DEALS,2023,1,2023-Q1,0,,
3W,ANKUSH AUTO DEALS,2023,2,2023-Q2,1,0,
3W,ANKUSH AUTO DEALS,2023,3,2023-Q3,4,1,300
3W,ANKUSH AUTO DEALS,2023,4,2023-Q4,0,4,100
3W,ANNAPURNA INDUSTRIES,2024,1,2024-Q1,19,,
3W,ANNAPURNA INDUSTRIES,2024,2,2024-Q2,8,19,57.89
3W,ANNAPURNA INDUSTRIES,2024,3,2024-Q3,28,8,250
3W,ANNAPURNA INDUSTRIES,2024,4,2024-Q4,29,28,3.57
3W,ANOOP CYLINDERS PVT LTD,2024,1,2024-Q1,4,,
3W,ANOOP CYLINDERS PVT LTD,2024,2,2024-Q2,4,4,0
3W,ANOOP CYLINDERS PVT LTD,2024,3,2024-Q3,0,4,100
3W,ANOOP CYLINDERS PVT LTD,2024,4,2024-Q4,1,0,
3W,ANOOP CYLINDERS PVT LTD,2025,1,2025-Q1,2,1,100
3W,ANOOP CYLINDERS PVT LTD,2025,2,2025-Q2,5,2,150
3W,ANOOP CYLINDERS PVT LTD,2025,3,2025-Q3,13,5,160
3W,ANOOP CYLINDERS PVT LTD,2025,4,2025-Q4,0,13,100
3W,"ANUP ENTERPRISES,SNG",2024,1,2024-Q1,0,,
3W,"ANUP ENTERPRISES,SNG",2024,2,2024-Q2,4,0,
3W,"ANUP ENTERPRISES,SNG",2024,3,2024-Q3,0,4,100
3W,"ANUP ENTERPRISES,SNG",2024,4,2024-Q4,0,0,
3W,ANVITA AUTO TECH WORKS PVT LTD,2024,1,2024-Q1,2,,
3W,ANVITA AUTO TECH WORKS PVT LTD,2024,2,2024-Q2,2,2,0
3W,ANVITA AUTO TECH WORKS PVT LTD,2024,3,2024-Q3,1,2,50
3W,ANVITA AUTO TECH WORKS PVT LTD,2024,4,2024-Q4,0,1,100
3W,APARNA INDUSTRIES,2023,1,2023-Q1,23,,
3W,APARNA INDUSTRIES,2023,2,2023-Q2,27,23,17.39
3W,APARNA INDUSTRIES,2023,3,2023-Q3,11,27,59.26
3W,APARNA INDUSTRIES,2023,4,2023-Q4,26,11,136.36
3W,APARNA INDUSTRIES,2024,1,2024-Q1,25,26,3.85
3W,APARNA INDUSTRIES,2024,2,2024-Q2,5,25,80
3W,APARNA INDUSTRIES,2024,3,2024-Q3,5,5,0
3W,APARNA INDUSTRIES,2024,4,2024-Q4,2,5,60
3W,APARNA INDUSTRIES,2025,1,2025-Q1,14,2,600
3W,APARNA INDUSTRIES,2025,2,2025-Q2,95,14,578.57
3W,APARNA INDUSTRIES,2025,3,2025-Q3,119,95,25.26
3W,APARNA INDUSTRIES,2025,4,2025-Q4,0,119,100
3W,APM AUTO SALES,2023,1,2023-Q1,195,,
3W,APM AUTO SALES,2023,2,2023-Q2,191,195,2.05
3W,APM AUTO SALES,2023,3,2023-Q3,212,191,10.99
3W,APM AUTO SALES,2023,4,2023-Q4,180,212,15.09
3W,APM AUTO SALES,2024,1,2024-Q1,148,180,17.78
3W,APM AUTO SALES,2024,2,2024-Q2,152,148,2.7
3W,APM AUTO SALES,2024,3,2024-Q3,221,152,45.39
3W,APM AUTO SALES,2024,4,2024-Q4,154,221,30.32
3W,APM AUTO SALES,2025,1,2025-Q1,197,154,27.92
3W,APM AUTO SALES,2025,2,2025-Q2,325,197,64.97
3W,APM AUTO SALES,2025,3,2025-Q3,768,325,136.31
3W,APM AUTO SALES,2025,4,2025-Q4,0,768,100
3W,APOLLO CARMIX EQUIPMENTS PVT LTD,2024,1,2024-Q1,46,,
3W,APOLLO CARMIX EQUIPMENTS PVT LTD,2024,2,2024-Q2,24,46,47.83
3W,APOLLO CARMIX EQUIPMENTS PVT LTD,2024,3,2024-Q3,26,24,8.33
3W,APOLLO CARMIX EQUIPMENTS PVT LTD,2024,4,2024-Q4,19,26,26.92
3W,APSARA ENTERPRISE,2023,1,2023-Q1,107,,
3W,APSARA ENTERPRISE,2023,2,2023-Q2,125,107,16.82
3W,APSARA ENTERPRISE,2023,3,2023-Q3,257,125,105.6
3W,APSARA ENTERPRISE,2023,4,2023-Q4,236,257,8.17
3W,APSARA ENTERPRISE,2024,1,2024-Q1,202,236,14.41
3W,APSARA ENTERPRISE,2024,2,2024-Q2,232,202,14.85
3W,APSARA ENTERPRISE,2024,3,2024-Q3,624,232,168.97
3W,APSARA ENTERPRISE,2024,4,2024-Q4,493,624,20.99
3W,APSARA ENTERPRISE,2025,1,2025-Q1,566,493,14.81
3W,APSARA ENTERPRISE,2025,2,2025-Q2,603,566,6.54
3W,APSARA ENTERPRISE,2025,3,2025-Q3,230,603,61.86
3W,APSARA ENTERPRISE,2025,4,2025-Q4,0,230,100
3W,APTEC EQUIPMENT PRIVATE LIMITED,2024,1,2024-Q1,2,,
3W,APTEC EQUIPMENT PRIVATE LIMITED,2024,2,2024-Q2,5,2,150
3W,APTEC EQUIPMENT PRIVATE LIMITED,2024,3,2024-Q3,1,5,80
3W,APTEC EQUIPMENT PRIVATE LIMITED,2024,4,2024-Q4,2,1,100
3W,ARCHIT ENTERPRISES,2023,1,2023-Q1,238,,
3W,ARCHIT ENTERPRISES,2023,2,2023-Q2,248,238,4.2
3W,ARCHIT ENTERPRISES,2023,3,2023-Q3,337,248,35.89
3W,ARCHIT ENTERPRISES,2023,4,2023-Q4,254,337,24.63
3W,ARCHIT ENTERPRISES,2024,1,2024-Q1,330,254,29.92
3W,ARCHIT ENTERPRISES,2024,2,2024-Q2,282,330,14.55
3W,ARCHIT ENTERPRISES,2024,3,2024-Q3,416,282,47.52
3W,ARCHIT ENTERPRISES,2024,4,2024-Q4,305,416,26.68
3W,ARCHIT ENTERPRISES,2025,1,2025-Q1,328,305,7.54
3W,ARCHIT ENTERPRISES,2025,2,2025-Q2,341,328,3.96
3W,ARCHIT ENTERPRISES,2025,3,2025-Q3,865,341,153.67
3W,ARCHIT ENTERPRISES,2025,4,2025-Q4,0,865,100
3W,ARD EXIM,2023,1,2023-Q1,12,,
3W,ARD EXIM,2023,2,2023-Q2,20,12,66.67
3W,ARD EXIM,2023,3,2023-Q3,15,20,25
3W,ARD EXIM,2023,4,2023-Q4,14,15,6.67
3W,ARD EXIM,2024,1,2024-Q1,16,14,14.29
3W,ARD EXIM,2024,2,2024-Q2,12,16,25
3W,ARD EXIM,2024,3,2024-Q3,7,12,41.67
3W,ARD EXIM,2024,4,2024-Q4,6,7,14.29
3W,ARD EXIM,2025,1,2025-Q1,3,6,50
3W,ARD EXIM,2025,2,2025-Q2,2,3,33.33
3W,ARD EXIM,2025,3,2025-Q3,5,2,150
3W,ARD EXIM,2025,4,2025-Q4,0,5,100
3W,ARIHANT ENTERPRISES,2024,1,2024-Q1,0,,
3W,ARIHANT ENTERPRISES,2024,2,2024-Q2,0,0,
3W,ARIHANT ENTERPRISES,2024,3,2024-Q3,0,0,
3W,ARIHANT ENTERPRISES,2024,4,2024-Q4,1,0,
3W,ARIHANT ENTERPRISES,2025,1,2025-Q1,0,1,100
3W,ARIHANT ENTERPRISES,2025,2,2025-Q2,8,0,
3W,ARIHANT ENTERPRISES,2025,3,2025-Q3,10,8,25
3W,ARIHANT ENTERPRISES,2025,4,2025-Q4,0,10,100
3W,ARMIX CONSTRUCTION MACHINERY PVT LTD,2024,1,2024-Q1,2,,
3W,ARMIX CONSTRUCTION MACHINERY PVT LTD,2024,2,2024-Q2,5,2,150
3W,ARMIX CONSTRUCTION MACHINERY PVT LTD,2024,3,2024-Q3,1,5,80
3W,ARMIX CONSTRUCTION MACHINERY PVT LTD,2024,4,2024-Q4,1,1,0
3W,ARNA ELECTRIC AUTO PVT LTD,2023,1,2023-Q1,95,,
3W,ARNA ELECTRIC AUTO PVT LTD,2023,2,2023-Q2,133,95,40
3W,ARNA ELECTRIC AUTO PVT LTD,2023,3,2023-Q3,198,133,48.87
3W,ARNA ELECTRIC AUTO PVT LTD,2023,4,2023-Q4,164,198,17.17
3W,ARNA ELECTRIC AUTO PVT LTD,2024,1,2024-Q1,65,164,60.37
3W,ARNA ELECTRIC AUTO PVT LTD,2024,2,2024-Q2,4,65,93.85
3W,ARNA ELECTRIC AUTO PVT LTD,2024,3,2024-Q3,14,4,250
3W,ARNA ELECTRIC AUTO PVT LTD,2024,4,2024-Q4,3,14,78.57
3W,ARROW AUTOMOTIVE,2023,1,2023-Q1,869,,
3W,ARROW AUTOMOTIVE,2023,2,2023-Q2,1027,869,18.18
3W,ARROW AUTOMOTIVE,2023,3,2023-Q3,1168,1027,13.73
3W,ARROW AUTOMOTIVE,2023,4,2023-Q4,894,1168,23.46
3W,ARROW AUTOMOTIVE,2024,1,2024-Q1,653,894,26.96
3W,ARROW AUTOMOTIVE,2024,2,2024-Q2,952,653,45.79
3W,ARROW AUTOMOTIVE,2024,3,2024-Q3,994,952,4.41
3W,ARROW AUTOMOTIVE,2024,4,2024-Q4,834,994,16.1
3W,ARROW AUTOMOTIVE,2025,1,2025-Q1,671,834,19.54
3W,ARROW AUTOMOTIVE,2025,2,2025-Q2,736,671,9.69
3W,ARROW AUTOMOTIVE,2025,3,2025-Q3,354,736,51.9
3W,ARROW AUTOMOTIVE,2025,4,2025-Q4,0,354,100
3W,ARYAN INDUSTRIES,2024,1,2024-Q1,0,,
3W,ARYAN INDUSTRIES,2024,2,2024-Q2,0,0,
3W,ARYAN INDUSTRIES,2024,3,2024-Q3,0,0,
3W,ARYAN INDUSTRIES,2024,4,2024-Q4,3,0,
3W,ARYAN INDUSTRIES,2025,1,2025-Q1,10,3,233.33
3W,ARYAN INDUSTRIES,2025,2,2025-Q2,26,10,160
3W,ARYAN INDUSTRIES,2025,3,2025-Q3,42,26,61.54
3W,ARYAN INDUSTRIES,2025,4,2025-Q4,0,42,100
3W,ASAV AUTOMOTIVE PVT LTD,2024,1,2024-Q1,0,,
3W,ASAV AUTOMOTIVE PVT LTD,2024,2,2024-Q2,1,0,
3W,ASAV AUTOMOTIVE PVT LTD,2024,3,2024-Q3,0,1,100
3W,ASAV AUTOMOTIVE PVT LTD,2024,4,2024-Q4,6,0,
3W,ASAV AUTOMOTIVE PVT LTD,2025,1,2025-Q1,11,6,83.33
3W,ASAV AUTOMOTIVE PVT LTD,2025,2,2025-Q2,5,11,54.55
3W,ASAV AUTOMOTIVE PVT LTD,2025,3,2025-Q3,16,5,220
3W,ASAV AUTOMOTIVE PVT LTD,2025,4,2025-Q4,0,16,100
3W,ASHA IMPEX,2023,1,2023-Q1,9,,
3W,ASHA IMPEX,2023,2,2023-Q2,27,9,200
3W,ASHA IMPEX,2023,3,2023-Q3,18,27,33.33
3W,ASHA IMPEX,2023,4,2023-Q4,32,18,77.78
3W,ASHA IMPEX,2024,1,2024-Q1,36,32,12.5
3W,ASHA IMPEX,2024,2,2024-Q2,66,36,83.33
3W,ASHA IMPEX,2024,3,2024-Q3,79,66,19.7
3W,ASHA IMPEX,2024,4,2024-Q4,70,79,11.39
3W,ASHA IMPEX,2025,1,2025-Q1,72,70,2.86
3W,ASHA IMPEX,2025,2,2025-Q2,70,72,2.78
3W,ASHA IMPEX,2025,3,2025-Q3,200,70,185.71
3W,ASHA IMPEX,2025,4,2025-Q4,0,200,100
3W,ASHA METAL INDUSTRIES,2024,1,2024-Q1,1,,
3W,ASHA METAL INDUSTRIES,2024,2,2024-Q2,0,1,100
3W,ASHA METAL INDUSTRIES,2024,3,2024-Q3,1,0,
3W,ASHA METAL INDUSTRIES,2024,4,2024-Q4,0,1,100
3W,ASHLESHA POWER CONTROLS PVT LTD,2023,1,2023-Q1,0,,
3W,ASHLESHA POWER CONTROLS PVT LTD,2023,2,2023-Q2,6,0,
3W,ASHLESHA POWER CONTROLS PVT LTD,2023,3,2023-Q3,0,6,100
3W,ASHLESHA POWER CONTROLS PVT LTD,2023,4,2023-Q4,0,0,
3W,ASHLESHA POWER CONTROLS PVT LTD,2024,1,2024-Q1,0,0,
3W,ASHLESHA POWER CONTROLS PVT LTD,2024,2,2024-Q2,1,0,
3W,ASHLESHA POWER CONTROLS PVT LTD,2024,3,2024-Q3,1,1,0
3W,ASHLESHA POWER CONTROLS PVT LTD,2024,4,2024-Q4,1,1,0
3W,ASHLESHA POWER CONTROLS PVT LTD,2025,1,2025-Q1,1,1,0
3W,ASHLESHA POWER CONTROLS PVT LTD,2025,2,2025-Q2,0,1,100
3W,ASHLESHA POWER CONTROLS PVT LTD,2025,3,2025-Q3,1,0,
3W,ASHLESHA POWER CONTROLS PVT LTD,2025,4,2025-Q4,0,1,100
3W,ASHMA-MOTORS PVT LTD,2023,1,2023-Q1,0,,
3W,ASHMA-MOTORS PVT LTD,2023,2,2023-Q2,0,0,
3W,ASHMA-MOTORS PVT LTD,2023,3,2023-Q3,89,0,
3W,ASHMA-MOTORS PVT LTD,2023,4,2023-Q4,205,89,130.34
3W,ASHMA-MOTORS PVT LTD,2024,1,2024-Q1,284,205,38.54
3W,ASHMA-MOTORS PVT LTD,2024,2,2024-Q2,345,284,21.48
3W,ASHMA-MOTORS PVT LTD,2024,3,2024-Q3,462,345,33.91
3W,ASHMA-MOTORS PVT LTD,2024,4,2024-Q4,298,462,35.5
3W,ASHMA-MOTORS PVT LTD,2025,1,2025-Q1,264,298,11.41
3W,ASHMA-MOTORS PVT LTD,2025,2,2025-Q2,369,264,39.77
3W,ASHMA-MOTORS PVT LTD,2025,3,2025-Q3,971,369,163.14
3W,ASHMA-MOTORS PVT LTD,2025,4,2025-Q4,0,971,100
3W,ASHNNI MOTORS PVT LTD,2024,1,2024-Q1,0,,
3W,ASHNNI MOTORS PVT LTD,2024,2,2024-Q2,0,0,
3W,ASHNNI MOTORS PVT LTD,2024,3,2024-Q3,1,0,
3W,ASHNNI MOTORS PVT LTD,2024,4,2024-Q4,4,1,300
3W,"ASHOK FABRIC & ENGG,RAIRAKHOL",2024,1,2024-Q1,3,,
3W,"ASHOK FABRIC & ENGG,RAIRAKHOL",2024,2,2024-Q2,1,3,66.67
3W,"ASHOK FABRIC & ENGG,RAIRAKHOL",2024,3,2024-Q3,0,1,100
3W,"ASHOK FABRIC & ENGG,RAIRAKHOL",2024,4,2024-Q4,0,0,
3W,ASHOK LEYLAND DEFENCE SYSTEMS LTD,2024,1,2024-Q1,51,,
3W,ASHOK LEYLAND DEFENCE SYSTEMS LTD,2024,2,2024-Q2,3,51,94.12
3W,ASHOK LEYLAND DEFENCE SYSTEMS LTD,2024,3,2024-Q3,0,3,100
3W,ASHOK LEYLAND DEFENCE SYSTEMS LTD,2024,4,2024-Q4,0,0,
3W,ASHOK LEYLAND LTD,2024,1,2024-Q1,0,,
3W,ASHOK LEYLAND LTD,2024,2,2024-Q2,0,0,
3W,ASHOK LEYLAND LTD,2024,3,2024-Q3,0,0,
3W,ASHOK LEYLAND LTD,2024,4,2024-Q4,0,0,
3W,ASHWA ELECTRIC,2024,1,2024-Q1,1,,
3W,ASHWA ELECTRIC,2024,2,2024-Q2,0,1,100
3W,ASHWA ELECTRIC,2024,3,2024-Q3,0,0,
3W,ASHWA ELECTRIC,2024,4,2024-Q4,0,0,
3W,ASIA BODY BUILDERS & MANUFACTURERS,2024,1,2024-Q1,2,,
3W,ASIA BODY BUILDERS & MANUFACTURERS,2024,2,2024-Q2,0,2,100
3W,ASIA BODY BUILDERS & MANUFACTURERS,2024,3,2024-Q3,1,0,
3W,ASIA BODY BUILDERS & MANUFACTURERS,2024,4,2024-Q4,0,1,100
3W,ASSAM FABRICATION WORKS,2024,1,2024-Q1,42,,
3W,ASSAM FABRICATION WORKS,2024,2,2024-Q2,12,42,71.43
3W,ASSAM FABRICATION WORKS,2024,3,2024-Q3,10,12,16.67
3W,ASSAM FABRICATION WORKS,2024,4,2024-Q4,19,10,90
3W,ASSAM SAII MOTORS P LTD,2024,1,2024-Q1,1,,
3W,ASSAM SAII MOTORS P LTD,2024,2,2024-Q2,0,1,100
3W,ASSAM SAII MOTORS P LTD,2024,3,2024-Q3,0,0,
3W,ASSAM SAII MOTORS P LTD,2024,4,2024-Q4,0,0,
3W,ASTON MARTIN LAGONDA LTD,2024,1,2024-Q1,2,,
3W,ASTON MARTIN LAGONDA LTD,2024,2,2024-Q2,4,2,100
3W,ASTON MARTIN LAGONDA LTD,2024,3,2024-Q3,7,4,75
3W,ASTON MARTIN LAGONDA LTD,2024,4,2024-Q4,2,7,71.43
3W,ATHER ENERGY LTD,2024,1,2024-Q1,0,,
3W,ATHER ENERGY LTD,2024,2,2024-Q2,0,0,
3W,ATHER ENERGY LTD,2024,3,2024-Q3,0,0,
3W,ATHER ENERGY LTD,2024,4,2024-Q4,0,0,
3W,ATTOLENT AUTO GROUP PVT LTD,2023,1,2023-Q1,129,,
3W,ATTOLENT AUTO GROUP PVT LTD,2023,2,2023-Q2,209,129,62.02
3W,ATTOLENT AUTO GROUP PVT LTD,2023,3,2023-Q3,241,209,15.31
3W,ATTOLENT AUTO GROUP PVT LTD,2023,4,2023-Q4,181,241,24.9
3W,ATTOLENT AUTO GROUP PVT LTD,2024,1,2024-Q1,191,181,5.52
3W,ATTOLENT AUTO GROUP PVT LTD,2024,2,2024-Q2,155,191,18.85
3W,ATTOLENT AUTO GROUP PVT LTD,2024,3,2024-Q3,176,155,13.55
3W,ATTOLENT AUTO GROUP PVT LTD,2024,4,2024-Q4,109,176,38.07
3W,ATTOLENT AUTO GROUP PVT LTD,2025,1,2025-Q1,116,109,6.42
3W,ATTOLENT AUTO GROUP PVT LTD,2025,2,2025-Q2,357,116,207.76
3W,ATTOLENT AUTO GROUP PVT LTD,2025,3,2025-Q3,585,357,63.87
3W,ATTOLENT AUTO GROUP PVT LTD,2025,4,2025-Q4,0,585,100
3W,ATUL AUTO LTD,2023,1,2023-Q1,0,,
3W,ATUL AUTO LTD,2023,2,2023-Q2,0,0,
3W,ATUL AUTO LTD,2023,3,2023-Q3,0,0,
3W,ATUL AUTO LTD,2023,4,2023-Q4,0,0,
3W,ATUL AUTO LTD,2024,1,2024-Q1,0,0,
3W,ATUL AUTO LTD,2024,2,2024-Q2,0,0,
3W,ATUL AUTO LTD,2024,3,2024-Q3,0,0,
3W,ATUL AUTO LTD,2024,4,2024-Q4,0,0,
3W,ATUL AUTO LTD,2025,1,2025-Q1,0,0,
3W,ATUL AUTO LTD,2025,2,2025-Q2,0,0,
3W,ATUL AUTO LTD,2025,3,2025-Q3,576,0,
3W,ATUL AUTO LTD,2025,4,2025-Q4,0,576,100
3W,ATUL GREENTECH PRIVATE LIMITED,2023,1,2023-Q1,0,,
3W,ATUL GREENTECH PRIVATE LIMITED,2023,2,2023-Q2,4,0,
3W,ATUL GREENTECH PRIVATE LIMITED,2023,3,2023-Q3,30,4,650
3W,ATUL GREENTECH PRIVATE LIMITED,2023,4,2023-Q4,93,30,210
3W,ATUL GREENTECH PRIVATE LIMITED,2024,1,2024-Q1,144,93,54.84
3W,ATUL GREENTECH PRIVATE LIMITED,2024,2,2024-Q2,104,144,27.78
3W,ATUL GREENTECH PRIVATE LIMITED,2024,3,2024-Q3,187,104,79.81
3W,ATUL GREENTECH PRIVATE LIMITED,2024,4,2024-Q4,330,187,76.47
3W,ATUL GREENTECH PRIVATE LIMITED,2025,1,2025-Q1,519,330,57.27
3W,ATUL GREENTECH PRIVATE LIMITED,2025,2,2025-Q2,328,519,36.8
3W,ATUL GREENTECH PRIVATE LIMITED,2025,3,2025-Q3,1075,328,227.74
3W,ATUL GREENTECH PRIVATE LIMITED,2025,4,2025-Q4,0,1075,100
3W,ATUMOBILE PVT LTD,2024,1,2024-Q1,9,,
3W,ATUMOBILE PVT LTD,2024,2,2024-Q2,13,9,44.44
3W,ATUMOBILE PVT LTD,2024,3,2024-Q3,7,13,46.15
3W,ATUMOBILE PVT LTD,2024,4,2024-Q4,5,7,28.57
3W,ATUT SANGAM,2023,1,2023-Q1,364,,
3W,ATUT SANGAM,2023,2,2023-Q2,469,364,28.85
3W,ATUT SANGAM,2023,3,2023-Q3,691,469,47.33
3W,ATUT SANGAM,2023,4,2023-Q4,812,691,17.51
3W,ATUT SANGAM,2024,1,2024-Q1,694,812,14.53
3W,ATUT SANGAM,2024,2,2024-Q2,620,694,10.66
3W,ATUT SANGAM,2024,3,2024-Q3,640,620,3.23
3W,ATUT SANGAM,2024,4,2024-Q4,536,640,16.25
3W,ATUT SANGAM,2025,1,2025-Q1,501,536,6.53
3W,ATUT SANGAM,2025,2,2025-Q2,571,501,13.97
