sl_no,manufacturer,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,vehicle_type,year
177,WARIVO MOTOR INDIA PVT LTD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2023
178,WHITE CARBON MOTORS PVT LTD,9.0,6.0,4.0,8.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,42.0,2W,2023
179,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,15.0,2W,2023
180,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),18.0,21.0,28.0,36.0,36.0,22.0,20.0,23.0,7.0,40.0,16.0,8.0,275.0,2W,2023
181,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2W,2023
182,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,10.0,2W,2023
183,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),11.0,10.0,9.0,10.0,6.0,19.0,11.0,13.0,32.0,25.0,24.0,12.0,182.0,2W,2023
184,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),5.0,8.0,10.0,4.0,1.0,7.0,5.0,4.0,1.0,5.0,2.0,2.0,54.0,2W,2023
185,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,12.0,12.0,15.0,10.0,68.0,2W,2023
186,WUXI SAIGE (IMPORTER: ELECTRO-TECH),0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,2W,2023
187,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,15.0,2W,2023
188,WUXI SAIGE (IMPORTER: NGAGE IMPEX),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2W,2023
189,WUXI SAIGE (IMPORTER: WARIVO MOTOR),0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,160.0,97.0,161.0,426.0,2W,2023
190,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2W,2023
191,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2W,2023
192,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,22.0,10.0,37.0,2W,2023
193,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,4.0,9.0,8.0,4.0,35.0,2W,2023
194,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0.0,0.0,4.0,4.0,5.0,6.0,4.0,5.0,10.0,10.0,7.0,17.0,72.0,2W,2023
195,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,2.0,22.0,2W,2023
196,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0.0,0.0,0.0,6.0,4.0,27.0,50.0,42.0,74.0,73.0,62.0,51.0,389.0,2W,2023
197,WUXI TENGHUI (IMPORTER: JAIDKA POWER),0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,8.0,2W,2023
198,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2W,2023
199,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,12.0,2W,2023
200,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),14.0,18.0,8.0,15.0,21.0,23.0,37.0,20.0,16.0,50.0,38.0,18.0,278.0,2W,2023
201,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,2.0,17.0,2W,2023
202,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,12.0,2W,2023
203,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),0.0,0.0,0.0,4.0,14.0,24.0,50.0,37.0,80.0,40.0,49.0,18.0,316.0,2W,2023
204,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,16.0,2W,2023
205,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2W,2023
206,YANGGUANG LINGMU (IMPORTER: ECOINDIA),1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2W,2023
207,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),0.0,0.0,5.0,5.0,2.0,4.0,7.0,8.0,8.0,5.0,4.0,13.0,61.0,2W,2023
208,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),4.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,27.0,2W,2023
209,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,11.0,2W,2023
210,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,7.0,36.0,23.0,82.0,2W,2023
211,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0.0,0.0,0.0,0.0,0.0,3.0,8.0,14.0,46.0,43.0,22.0,82.0,218.0,2W,2023
212,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,19.0,36.0,2W,2023
213,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,2.0,5.0,20.0,2W,2023
214,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0.0,0.0,0.0,0.0,5.0,4.0,6.0,8.0,11.0,14.0,19.0,13.0,80.0,2W,2023
215,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2W,2023
216,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),6.0,0.0,5.0,8.0,9.0,19.0,9.0,5.0,18.0,21.0,12.0,16.0,128.0,2W,2023
217,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2.0,4.0,2.0,7.0,1.0,3.0,0.0,1.0,1.0,4.0,0.0,7.0,32.0,2W,2023
218,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),5.0,5.0,8.0,10.0,8.0,5.0,3.0,7.0,5.0,4.0,5.0,5.0,70.0,2W,2023
219,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),41.0,37.0,33.0,24.0,20.0,16.0,15.0,13.0,15.0,13.0,17.0,16.0,260.0,2W,2023
220,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),2.0,5.0,5.0,3.0,3.0,4.0,7.0,3.0,4.0,3.0,6.0,0.0,45.0,2W,2023
221,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),4.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,21.0,2W,2023
222,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),5.0,3.0,11.0,10.0,4.0,7.0,2.0,4.0,14.0,7.0,15.0,4.0,86.0,2W,2023
223,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),1.0,2.0,16.0,8.0,6.0,7.0,7.0,2.0,4.0,3.0,6.0,2.0,64.0,2W,2023
224,A-1 SUREJA INDUSTRIES,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,2W,2024
225,ABZO MOTORS PVT LTD,5.0,3.0,6.0,6.0,18.0,6.0,4.0,2.0,5.0,7.0,4.0,2.0,68.0,2W,2024
226,ADISHWAR AUTO RIDE INDIA PVT LTD,24.0,30.0,19.0,24.0,14.0,19.0,23.0,19.0,18.0,23.0,23.0,10.0,246.0,2W,2024
227,ADRIS ELECTRIC PVT LTD,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2W,2024
228,AFTEK MOTORS INDIA PVT LTD,0.0,1.0,12.0,5.0,7.0,6.0,1.0,3.0,1.0,0.0,3.0,0.0,39.0,2W,2024
229,ALTIUS EV TECH PVT LTD,2.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,19.0,2W,2024
230,AMO MOBILITY SOLUTIONS PVT LTD,17.0,13.0,16.0,4.0,12.0,5.0,18.0,6.0,11.0,5.0,3.0,12.0,122.0,2W,2024
231,AMPERE VEHICLES PRIVATE LIMITED,178.0,122.0,139.0,164.0,103.0,99.0,44.0,105.0,45.0,25.0,20.0,45.0,0.0,2W,2024
232,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,3.0,2.0,2.0,8.0,5.0,1.0,1.0,6.0,4.0,1.0,0.0,1.0,34.0,2W,2024
233,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2W,2024
234,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2W,2024
