sl_no,manufacturer,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,vehicle_type,year
702,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2W,2025
703,YOUYAKU ELECTRIC (IMPORTER: POWORO PVT LTD),0.0,0.0,0.0,2.0,6.0,2.0,9.0,2.0,21.0,0.0,0.0,0.0,0.0,2W,2025
704,YOUYAKU ELECTRIC (IMPORTER:RIVALDO ELECTRIC),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2W,2025
705,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),2.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,28.0,0.0,0.0,0.0,0.0,2W,2025
706,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2W,2025
707,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),6.0,3.0,1.0,4.0,8.0,6.0,4.0,2.0,34.0,0.0,0.0,0.0,0.0,2W,2025
708,YOUYAKU ELECTRIC (IMPORTER: TES ELECTRIC),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2W,2025
709,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2W,2025
710,YOUYAKU ELECTRIC TECHNOLOGY (IMPORTER:JHEV MOTORS),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2W,2025
711,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),2.0,0.0,2.0,2.0,1.0,3.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,2W,2025
712,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2W,2025
713,ZELIO AUTO PVT LTD,7.0,10.0,3.0,7.0,6.0,13.0,17.0,0.0,63.0,0.0,0.0,0.0,0.0,2W,2025
714,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),1.0,4.0,9.0,10.0,15.0,8.0,19.0,13.0,79.0,0.0,0.0,0.0,0.0,2W,2025
715,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),9.0,8.0,2.0,7.0,9.0,10.0,14.0,2.0,61.0,0.0,0.0,0.0,0.0,2W,2025
716,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2W,2025
717,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),1.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,2W,2025
718,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),18.0,22.0,13.0,10.0,20.0,17.0,15.0,2.0,117.0,0.0,0.0,0.0,0.0,2W,2025
719,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),15.0,16.0,17.0,27.0,16.0,16.0,18.0,1.0,126.0,0.0,0.0,0.0,0.0,2W,2025
720,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2W,2025
721,3EV INDUSTRIES PVT LTD,60.0,0.0,60.0,13.0,75.0,0.0,125.0,40.0,35.0,61.0,0.0,76.0,545.0,3W,2023
722,3S INDUSTRIES PRIVATE LIMITED,6.0,1.0,22.0,9.0,8.0,8.0,11.0,21.0,44.0,43.0,38.0,55.0,266.0,3W,2023
723,AADHYA ENTERPRISES,40.0,37.0,60.0,35.0,59.0,89.0,64.0,117.0,85.0,75.0,75.0,61.0,797.0,3W,2023
724,AADITYA GARBAGE PRODUCTS PVT LTD,6.0,1.0,2.0,0.0,7.0,8.0,3.0,1.0,2.0,1.0,3.0,0.0,34.0,3W,2023
725,AAHANA COMMERCE PVT LTD,38.0,66.0,74.0,55.0,78.0,72.0,85.0,110.0,74.0,86.0,93.0,87.0,918.0,3W,2023
726,AARGEE ELECTRIC,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,5.0,0.0,0.0,18.0,3W,2023
727,ACCRETION POWER AUTOS,36.0,51.0,63.0,57.0,41.0,56.0,57.0,50.0,33.0,37.0,43.0,74.0,598.0,3W,2023
728,ADAPT MOTORS PVT LTD,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3W,2023
729,ADIDEV TECHNOA PVT LTD,39.0,46.0,23.0,31.0,42.0,54.0,65.0,60.0,91.0,103.0,50.0,85.0,689.0,3W,2023
730,ADITYA ENTERPRISES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3W,2023
731,ADITYA SAI INDUSTRIES,10.0,15.0,14.0,12.0,22.0,17.0,11.0,17.0,19.0,7.0,8.0,27.0,179.0,3W,2023
732,ADM TECHNOLOGIES PVT. LTD.,0.0,0.0,1.0,4.0,10.0,9.0,26.0,24.0,19.0,13.0,9.0,14.0,129.0,3W,2023
733,AJAY MOTORS PRIVATE LIMITED,13.0,15.0,16.0,15.0,22.0,12.0,11.0,17.0,13.0,21.0,22.0,13.0,190.0,3W,2023
734,A K AUTTO ELECTRICAL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3W,2023
735,AKG INTERNATIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,51.0,80.0,138.0,3W,2023
736,A K GUPTA & CO.,28.0,49.0,48.0,46.0,46.0,53.0,42.0,60.0,41.0,68.0,37.0,45.0,563.0,3W,2023
737,ALBEDO VISION PVT LTD,0.0,0.0,9.0,9.0,0.0,0.0,3.0,5.0,4.0,2.0,3.0,4.0,39.0,3W,2023
738,ALLENTTI MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,13.0,10.0,7.0,19.0,59.0,3W,2023
739,ALLFINE INDUSTRIES PVT LTD,681.0,654.0,863.0,667.0,838.0,903.0,0.0,963.0,0.0,0.0,959.0,960.0,0.0,3W,2023
740,ALTIER ELECTRIC VEHICLES PVT LTD,174.0,172.0,198.0,139.0,154.0,157.0,271.0,207.0,209.0,267.0,273.0,296.0,0.0,3W,2023
741,ALTIGREEN PROPULSION LABS PVT LTD,91.0,127.0,255.0,202.0,150.0,168.0,172.0,326.0,288.0,285.0,205.0,243.0,0.0,3W,2023
742,ALTIUS TECHNOLOGIES,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,13.0,3W,2023
743,AMAN AUTOMOBILES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,3.0,14.0,3W,2023
744,AMAN ELECTRIC VEHICLES,1.0,3.0,4.0,1.0,4.0,10.0,6.0,0.0,28.0,26.0,43.0,36.0,162.0,3W,2023
745,AMBIKA ENTERPRISES,0.0,15.0,11.0,9.0,15.0,15.0,14.0,24.0,9.0,13.0,11.0,9.0,145.0,3W,2023
746,AMBIKA INDUSTRIES,87.0,62.0,86.0,106.0,150.0,191.0,206.0,241.0,236.0,197.0,158.0,190.0,0.0,3W,2023
747,ANJALI AUTO COMPONENTS,0.0,1.0,1.0,3.0,1.0,5.0,7.0,8.0,4.0,12.0,8.0,12.0,62.0,3W,2023
748,ANJALI TRADERS,4.0,2.0,1.0,2.0,4.0,7.0,7.0,6.0,11.0,9.0,9.0,12.0,74.0,3W,2023
749,ANKUSH AUTO DEALS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,3W,2023
750,APARNA INDUSTRIES,11.0,3.0,9.0,9.0,15.0,3.0,3.0,3.0,5.0,4.0,6.0,16.0,87.0,3W,2023
751,A P I MOTORS PVT LTD,99.0,122.0,132.0,149.0,106.0,86.0,70.0,114.0,69.0,58.0,60.0,69.0,0.0,3W,2023
752,APM AUTO SALES,45.0,52.0,98.0,100.0,51.0,40.0,102.0,61.0,49.0,39.0,60.0,81.0,778.0,3W,2023
753,APSARA ENTERPRISE,29.0,39.0,39.0,36.0,28.0,61.0,77.0,67.0,113.0,102.0,60.0,74.0,725.0,3W,2023
754,ARCHIT ENTERPRISES,71.0,86.0,81.0,81.0,64.0,103.0,115.0,125.0,97.0,82.0,86.0,86.0,0.0,3W,2023
755,ARD EXIM,6.0,0.0,6.0,4.0,5.0,11.0,3.0,4.0,8.0,1.0,2.0,11.0,61.0,3W,2023
756,ARNA ELECTRIC AUTO PVT LTD,25.0,31.0,39.0,46.0,46.0,41.0,51.0,79.0,68.0,61.0,65.0,38.0,590.0,3W,2023
757,ARROW AUTOMOTIVE,218.0,313.0,338.0,274.0,421.0,332.0,386.0,343.0,439.0,418.0,269.0,207.0,0.0,3W,2023
758,ASHA IMPEX,4.0,2.0,3.0,3.0,14.0,10.0,13.0,2.0,3.0,11.0,8.0,13.0,86.0,3W,2023
759,ASHLESHA POWER CONTROLS PVT LTD,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3W,2023
760,ASHMA-MOTORS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,54.0,78.0,61.0,66.0,294.0,3W,2023
761,ATTOLENT AUTO GROUP PVT LTD,55.0,37.0,37.0,59.0,62.0,88.0,67.0,81.0,93.0,71.0,50.0,60.0,760.0,3W,2023
762,ATUL AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3W,2023
763,ATUL GREENTECH PRIVATE LIMITED,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,32.0,30.0,31.0,127.0,3W,2023
764,ATUT SANGAM,156.0,85.0,123.0,127.0,177.0,165.0,235.0,193.0,263.0,192.0,313.0,307.0,0.0,3W,2023
765,AUTOECO GREEN ENERGY PVT LTD,24.0,40.0,47.0,26.0,42.0,47.0,85.0,49.0,59.0,64.0,43.0,54.0,580.0,3W,2023
766,AUTOHAUS PRIVATE LIMITED,16.0,30.0,19.0,4.0,8.0,4.0,10.0,4.0,2.0,4.0,0.0,2.0,103.0,3W,2023
767,AUTOLITE (INDIA) LIMITED,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3W,2023
768,A.V.AUTOMOTIVES PVT LTD,72.0,66.0,124.0,92.0,94.0,101.0,100.0,136.0,148.0,118.0,133.0,125.0,0.0,3W,2023
769,AVL ELECTRIC VEHICLES PVT LTD,186.0,160.0,226.0,147.0,207.0,152.0,231.0,241.0,246.0,232.0,335.0,269.0,0.0,3W,2023
770,AVON CYCLE LTD INDIA,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3W,2023
771,AVON CYCLES LTD,69.0,61.0,85.0,70.0,61.0,67.0,69.0,73.0,54.0,59.0,54.0,62.0,784.0,3W,2023
772,B24 ROKET EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,3W,2023
773,BABA E-VEHICLES,67.0,93.0,107.0,78.0,143.0,138.0,147.0,180.0,126.0,148.0,68.0,68.0,0.0,3W,2023
774,BAGHWAN RIKSHAW UDYOG,0.0,0.0,0.0,0.0,13.0,7.0,3.0,4.0,7.0,1.0,1.0,4.0,40.0,3W,2023
775,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3W,2023
776,BAJAJ IMPLEMENTS PVT. LTD,40.0,47.0,80.0,75.0,64.0,93.0,48.0,82.0,123.0,155.0,68.0,72.0,947.0,3W,2023
777,BALAJI TRADING COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,3W,2023
778,BALAN ENGINEERING PVT LTD,2.0,6.0,6.0,70.0,9.0,9.0,25.0,6.0,5.0,5.0,2.0,1.0,146.0,3W,2023
779,BAL GOPAL WHEELS PVT LTD,1.0,1.0,1.0,6.0,5.0,3.0,10.0,12.0,20.0,16.0,19.0,11.0,105.0,3W,2023
780,BALI AUTO INDUSTRIES,37.0,20.0,26.0,19.0,40.0,21.0,13.0,10.0,14.0,22.0,28.0,24.0,274.0,3W,2023
781,BAXY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,117.0,227.0,390.0,3W,2023
782,BENTINCK INDUSTRIES PVT. LTD.,39.0,25.0,23.0,34.0,25.0,33.0,27.0,20.0,45.0,48.0,41.0,22.0,382.0,3W,2023
783,BEST WAY AGENCIES PVT LTD,515.0,460.0,597.0,536.0,598.0,703.0,768.0,839.0,889.0,666.0,677.0,654.0,0.0,3W,2023
784,BESTWAY AGENCIES PVT LTD,12.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3W,2023
785,BESTWAY BANARASH,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,3W,2023
786,BHADAURIA ENTERPRISES,1.0,3.0,5.0,4.0,4.0,2.0,10.0,27.0,16.0,7.0,16.0,11.0,106.0,3W,2023
787,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3W,2023
788,BHAVE ELECTRIC VEHICLES PVT LTD,121.0,167.0,185.0,189.0,212.0,206.0,293.0,271.0,256.0,328.0,197.0,256.0,0.0,3W,2023
789,BHM INDUSTRIES,81.0,78.0,129.0,128.0,130.0,150.0,175.0,208.0,182.0,178.0,160.0,215.0,0.0,3W,2023
790,BIG BULL TRADER PVT LTD,21.0,24.0,31.0,73.0,72.0,82.0,54.0,44.0,81.0,49.0,61.0,81.0,673.0,3W,2023
791,BIJNOR ENTERPRISES,19.0,13.0,8.0,2.0,0.0,6.0,4.0,6.0,0.0,4.0,7.0,3.0,72.0,3W,2023
792,BRIGHT AUTOZONE PVT LTD,306.0,237.0,259.0,247.0,269.0,303.0,298.0,308.0,348.0,321.0,340.0,459.0,0.0,3W,2023
793,BRIGHT METAL WORKS,11.0,2.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,31.0,3W,2023
794,CAPITAL AUTO INDUSTRIES,152.0,105.0,151.0,187.0,151.0,171.0,195.0,149.0,227.0,187.0,153.0,111.0,0.0,3W,2023
795,CARREE YUNUS VEHICLE PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3W,2023
796,CART INDIA,0.0,6.0,0.0,2.0,6.0,26.0,18.0,11.0,12.0,5.0,0.0,23.0,109.0,3W,2023
797,CEEON INDIA,44.0,45.0,68.0,63.0,75.0,91.0,95.0,74.0,82.0,101.0,64.0,72.0,874.0,3W,2023
798,CHAMPION POLY PLAST,0.0,0.0,0.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3W,2023
799,CHARUVIKRAM AUTOMOBILE PVT LTD,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3W,2023
800,CHAUHAN AUTO INDUSTRIES,68.0,32.0,23.0,19.0,48.0,48.0,59.0,47.0,64.0,69.0,58.0,36.0,571.0,3W,2023
801,CHEHAK BATTERIES,16.0,11.0,17.0,22.0,11.0,20.0,47.0,37.0,32.0,24.0,21.0,32.0,290.0,3W,2023
802,CITADEL ENTERPRISES(OPC) PVT LTD,4.0,4.0,2.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,28.0,3W,2023
803,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,68.0,64.0,103.0,66.0,75.0,106.0,81.0,76.0,91.0,55.0,73.0,72.0,930.0,3W,2023
804,C M OVERSEAS,0.0,1.0,2.0,0.0,8.0,2.0,1.0,1.0,22.0,12.0,0.0,1.0,50.0,3W,2023
805,CONTINENTAL ENGINES PVT LTD,426.0,444.0,422.0,348.0,458.0,423.0,535.0,499.0,399.0,454.0,413.0,330.0,0.0,3W,2023
806,CYRUS AUTO INDUSTRIES PVT LTD,6.0,8.0,12.0,4.0,2.0,7.0,15.0,11.0,16.0,1.0,1.0,13.0,96.0,3W,2023
807,DAKSH INDUSTRIES,365.0,312.0,340.0,324.0,424.0,557.0,621.0,622.0,557.0,649.0,556.0,598.0,0.0,3W,2023
808,DASHMESH TRADERS,3.0,0.0,31.0,1.0,14.0,10.0,3.0,7.0,9.0,20.0,15.0,9.0,122.0,3W,2023
809,DAVE EXIM PVT LTD,14.0,3.0,12.0,39.0,60.0,32.0,30.0,29.0,27.0,20.0,21.0,24.0,311.0,3W,2023
810,DD AUTO PVT LTD,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3W,2023
811,DEEP DRAWN TECHNOLOGIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,12.0,3W,2023
812,DE EUSI MOTORS PVT LTD.,62.0,89.0,116.0,132.0,152.0,139.0,151.0,155.0,170.0,150.0,125.0,122.0,0.0,3W,2023
813,DELTA AUTOCORP LTD,151.0,158.0,205.0,178.0,213.0,230.0,245.0,193.0,219.0,237.0,204.0,232.0,0.0,3W,2023
814,DELTEK ENTERPRISES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,8.0,3W,2023
815,DEVAM ELECTRIC VEHICLES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,3W,2023
816,DHAR IN PVT LTD,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,9.0,29.0,3W,2023
817,DHAR INTERNATIONAL,2.0,4.0,3.0,3.0,6.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,34.0,3W,2023
818,DIAMOND E VEHICLES,55.0,56.0,40.0,33.0,46.0,56.0,47.0,69.0,62.0,67.0,26.0,47.0,604.0,3W,2023
819,DILLI ELECTRIC AUTO PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3W,2023
820,DIVANSU AUTOMOBILES LTD,14.0,29.0,12.0,25.0,13.0,16.0,13.0,6.0,2.0,6.0,1.0,8.0,145.0,3W,2023
821,DIVYA ENTERPRISES,91.0,96.0,90.0,64.0,76.0,92.0,123.0,111.0,51.0,74.0,80.0,78.0,0.0,3W,2023
822,DSF INDUSTRIES PVT LTD,1.0,6.0,1.0,0.0,2.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,26.0,3W,2023
823,D S INDUSTRIES,10.0,3.0,1.0,8.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,32.0,3W,2023
824,DSR EV MOBILITY PVT LTD,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3W,2023
825,DUKE AUTO INDIA,62.0,34.0,89.0,73.0,84.0,73.0,62.0,106.0,90.0,73.0,48.0,140.0,934.0,3W,2023
826,DYS IMPEX PRIVATE LIMITED,25.0,32.0,20.0,40.0,26.0,43.0,80.0,82.0,131.0,124.0,66.0,82.0,751.0,3W,2023
827,E-ASHWA AUTOMOTIVE PVT LTD,29.0,10.0,22.0,33.0,20.0,16.0,18.0,24.0,16.0,23.0,6.0,23.0,240.0,3W,2023
828,EBUZZ MOBILITY LLP,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,7.0,17.0,3W,2023
829,ECO DYNAAMIC EQUIPMENTS,2.0,2.0,30.0,2.0,2.0,2.0,5.0,5.0,7.0,8.0,5.0,4.0,74.0,3W,2023
830,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3W,2023
831,ECO SMART VEHICLES PVT LTD,45.0,95.0,72.0,76.0,87.0,118.0,125.0,146.0,83.0,144.0,106.0,148.0,0.0,3W,2023
832,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,3W,2023
833,EDMRC MANNSCHAFT LLP,7.0,9.0,5.0,5.0,6.0,14.0,4.0,17.0,5.0,9.0,0.0,8.0,89.0,3W,2023
834,EEVEE ENGINEERING PVT LTD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3W,2023
835,EFEV CHARGING SOLUTION PVT LTD,24.0,23.0,12.0,19.0,30.0,24.0,49.0,71.0,63.0,70.0,81.0,60.0,526.0,3W,2023
836,E-GURU AUTO ENERGY,1.0,11.0,8.0,2.0,4.0,4.0,16.0,8.0,9.0,17.0,9.0,36.0,125.0,3W,2023
837,ELECTRA INTERNATIONAL,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3W,2023
838,ELECTROTECH TRANSMISSION PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3W,2023
839,ELECTROTHERM (INDIA) LIMITED,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3W,2023
840,ELEPHANTA INDUSTRIES PVT LTD,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,3W,2023
841,ELITE AUTO ENGINEERS PVT LTD,95.0,73.0,76.0,92.0,69.0,79.0,108.0,85.0,136.0,116.0,81.0,190.0,0.0,3W,2023
842,E-MOTION AUTOMOTIVE INDUSTRY LLP,21.0,37.0,52.0,39.0,43.0,35.0,44.0,49.0,37.0,30.0,38.0,45.0,470.0,3W,2023
843,ENERGY ELECTRIC VEHICLES,602.0,693.0,760.0,677.0,781.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3W,2023
844,ENGINIA VEHICLES PVT LTD,0.0,0.0,0.0,3.0,3.0,13.0,18.0,30.0,32.0,40.0,33.0,16.0,188.0,3W,2023
845,ENTICE IMPEX PVT LTD,21.0,16.0,37.0,31.0,40.0,35.0,48.0,89.0,60.0,74.0,68.0,69.0,588.0,3W,2023
846,EPOWER VEHICLES PVT LTD,2.0,0.0,3.0,0.0,1.0,2.0,2.0,12.0,5.0,3.0,0.0,1.0,31.0,3W,2023
847,ERISHA E MOBILITY PVT LTD,0.0,0.0,0.0,0.0,1.0,5.0,12.0,9.0,9.0,5.0,8.0,6.0,55.0,3W,2023
848,E ROYCE MOTORS INDIA PVT LTD,1.0,16.0,34.0,92.0,189.0,297.0,316.0,235.0,111.0,3.0,2.0,0.0,0.0,3W,2023
849,ETRIO AUTOMOBILES PVT LTD,3.0,12.0,5.0,7.0,11.0,7.0,10.0,6.0,14.0,1.0,3.0,1.0,80.0,3W,2023
850,EULER MOTORS PVT LTD,66.0,112.0,273.0,222.0,147.0,194.0,282.0,245.0,186.0,276.0,255.0,337.0,0.0,3W,2023
851,EVBHARAT RANGE PRIVATE LIMITED,1.0,1.0,2.0,2.0,1.0,2.0,12.0,5.0,2.0,1.0,2.0,0.0,31.0,3W,2023
852,EVCO AUTOMOBILES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,3W,2023
853,EVERVE MOTORS PVT LTD,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3W,2023
854,EVEX AUTO INDIA PVT LTD,17.0,13.0,12.0,14.0,60.0,12.0,17.0,4.0,4.0,4.0,3.0,6.0,166.0,3W,2023
855,EXIDE INDUSTRIES LTD,139.0,171.0,189.0,169.0,184.0,207.0,193.0,219.0,211.0,232.0,233.0,232.0,0.0,3W,2023
856,EXTRA FAST SOLUTIONS,21.0,26.0,22.0,12.0,37.0,56.0,47.0,76.0,53.0,90.0,91.0,83.0,614.0,3W,2023
857,EXTREME MOTORS,24.0,15.0,14.0,27.0,12.0,25.0,21.0,19.0,11.0,20.0,21.0,9.0,218.0,3W,2023
858,FEDE INDUSTRIES PVT LTD,47.0,68.0,64.0,63.0,98.0,70.0,77.0,70.0,65.0,118.0,77.0,83.0,900.0,3W,2023
859,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,48.0,53.0,46.0,41.0,44.0,26.0,48.0,36.0,64.0,41.0,44.0,55.0,546.0,3W,2023
860,FITWEL MOBILITY PVT LTD,0.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,17.0,3W,2023
861,FIVE ELEMENTS,5.0,6.0,14.0,3.0,16.0,7.0,4.0,9.0,4.0,11.0,22.0,19.0,120.0,3W,2023
862,FORCE MOTORS LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3W,2023
863,GAGAN AUTOMOTIVES,0.0,0.0,0.0,0.0,0.0,21.0,45.0,53.0,85.0,50.0,69.0,60.0,383.0,3W,2023
864,GALVANIC AUTO PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,127.0,50.0,1.0,0.0,0.0,10.0,188.0,3W,2023
865,GAURI AUTO INDIA PVT. LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3W,2023
866,GAYATRI ELECTRIC VEHICLES PVT LTD,208.0,231.0,267.0,232.0,196.0,249.0,266.0,233.0,224.0,305.0,269.0,270.0,0.0,3W,2023
867,G & G AUTOMOTIVE,112.0,101.0,154.0,123.0,99.0,88.0,114.0,120.0,107.0,125.0,138.0,149.0,0.0,3W,2023
868,GILL AGROTECH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3W,2023
869,G.K E-VEHICLS INDUSTRIES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,34.0,74.0,3W,2023
870,GKON ELECTRIC MOTOR VEHICLES PVT LTD,85.0,34.0,55.0,65.0,54.0,45.0,87.0,53.0,50.0,53.0,74.0,54.0,709.0,3W,2023
871,G.K. RICKSHAW PVT LTD,242.0,422.0,475.0,330.0,569.0,536.0,485.0,523.0,570.0,626.0,395.0,341.0,0.0,3W,2023
872,G. M. VEHICLE INDUSTRIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3W,2023
873,GOBIND INDUSTRIES PVT LTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,3W,2023
874,GODAWARI ELECTRIC MOTORS PVT LTD,0.0,1.0,8.0,7.0,4.0,3.0,13.0,10.0,12.0,32.0,35.0,20.0,145.0,3W,2023
875,GODAWARI TECHNO SOLUTIONS PVT LTD,1.0,7.0,10.0,4.0,17.0,5.0,3.0,13.0,3.0,3.0,5.0,3.0,74.0,3W,2023
876,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,40.0,64.0,64.0,43.0,63.0,47.0,38.0,22.0,30.0,17.0,12.0,22.0,462.0,3W,2023
