sl.no,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     ,vehicle_type,year
1791,JADHAV AGRO INDUSTRIES PVT. LTD.,0,0,0,0,1,0,0,3,0,3,0,0,7,3W,2024
1792,JAGADAMBA TRAILER,3,2,0,0,0,0,0,0,0,0,0,0,5,3W,2024
1793,"JAGANATH AGRL IMPLEMENTS,BOUDH",0,1,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1794,JAGUAR LAND ROVER INDIA LIMITED,311,291,338,303,362,364,529,517,487,545,335,312,"4,694",3W,2024
1795,JAI BHAVANI ENGINEERING  WORKS,0,5,2,2,2,0,7,0,1,0,46,34,99,3W,2024
1796,JAI BHAVANI INDUSTRIES,0,0,0,0,0,0,1,0,0,0,0,0,1,3W,2024
1797,JAIDKA POWER SYSTEMS PVT LTD,17,2,17,5,4,8,8,4,0,9,6,3,83,3W,2024
1798,JAI DURGA TRAILERS,0,0,0,0,1,0,0,0,0,0,0,0,1,3W,2024
1799,JAI HANUMAN MOTORS,0,0,0,0,0,0,2,0,0,1,0,1,4,3W,2024
1800,JAIN POWER CORP,15,8,7,12,6,8,3,16,15,27,31,72,220,3W,2024
1801,JAISIK BUSINESS LINKS PVT LTD,40,47,44,37,39,29,42,46,46,31,43,48,492,3W,2024
1802,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,20,13,21,17,12,14,11,6,13,26,9,14,176,3W,2024
1803,JAJODIA COMMODITIES PVT LTD,111,99,106,76,112,96,155,262,267,184,221,208,"1,897",3W,2024
1804,JAL ENTERPRISES,0,1,0,0,0,0,1,0,3,13,7,16,41,3W,2024
1805,JANGEER MANUFACTURING INDUSTRIES PVT LTD,0,1,2,0,4,1,0,0,0,0,0,0,8,3W,2024
1806,JANTA SUPER TRAILOR,0,0,0,0,0,0,0,0,0,0,0,2,2,3W,2024
1807,JAY AGRO INDUSTRIES,10,9,11,7,8,8,2,10,0,8,9,12,94,3W,2024
1808,JAYATI TOOLS,1,0,1,1,1,1,0,0,0,0,0,4,9,3W,2024
1809,JAY BHAVANI TRAILOR,0,0,8,1,0,0,0,1,0,0,11,0,21,3W,2024
1810,JAYNA AUTOMOBILES LLP,0,0,0,4,5,0,3,0,4,0,6,6,28,3W,2024
1811,JAY SHREE BALAJI ENG WORKS,1,1,0,0,0,0,0,0,0,0,0,0,2,3W,2024
1812,JBM AUTO LIMITED,195,22,73,25,34,35,69,3,14,82,10,10,572,3W,2024
1813,JBM ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,5,5,3W,2024
1814,J.C. BAMFORD EXCAVATORS LIMITED,0,0,0,0,1,0,0,0,0,0,0,0,1,3W,2024
1815,JCB INDIA LIMITED,"3,642","3,780","3,955","3,467","2,892","2,534","2,293","2,403","2,875","5,054","3,759","3,695","40,349",3W,2024
1816,JCBL LIMITED,0,1,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1817,JEEVAA E-BIKE MFG PVT LTD,0,0,0,0,0,0,1,2,1,0,1,0,5,3W,2024
1818,"JENA ENGINEERING WS,PURI",0,1,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1819,JESSOP & COMPANY LTD,0,0,0,0,0,0,0,1,0,0,0,0,1,3W,2024
1820,JESSUN TECHNO PVT LTD,12,19,6,22,16,14,12,14,21,29,16,9,190,3W,2024
1821,JIANGSU AIMA (IMPORTER: FUTURE EV),2,5,9,9,8,6,1,7,2,3,1,2,55,3W,2024
1822,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),5,2,1,1,1,0,3,0,1,0,2,0,16,3W,2024
1823,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),1,0,1,0,1,1,0,0,0,0,0,0,4,3W,2024
1824,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),1,0,1,1,3,0,1,2,0,1,0,0,10,3W,2024
1825,JIANGSU DALONG (IMPORTER: SABOO TOR),1,3,4,4,2,5,5,1,0,3,5,0,33,3W,2024
