sl.no,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     ,vehicle_type,year
1117,SIX SENSES AUTOMOTIVE PVT LTD,1,2,0,0,0,1,1,3,0,0,1,3,12,3W,2023
1118,SKS AUTOMOBILES (I) PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0,2,3W,2023
1119,SKS TRADE INDIA PVT LTD,608,527,776,604,741,721,891,998,"1,015","1,042","1,077","1,081","10,081",3W,2023
1120,SKYRIDE AUTOMOTIVE,5,3,7,7,5,1,2,0,2,2,1,5,40,3W,2023
1121,SKYY RIDER ELECTRIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,1,1,3W,2023
1122,SMART ELECTRO MOTORS,0,0,0,9,1,10,5,3,1,10,2,6,47,3W,2023
1123,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,0,2,0,0,0,2,3W,2023
1124,SMITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1,0,3,4,3W,2023
1125,SN SOLAR ENERGY,1,1,10,5,2,20,12,26,16,28,20,46,187,3W,2023
1126,SONI E VEHICLE PVT LTD,4,0,5,0,10,4,5,11,6,8,8,3,64,3W,2023
1127,SPEED AUTO TECH,0,8,8,18,7,3,15,2,10,0,16,0,87,3W,2023
1128,SPEEDWAYS ELECTRIC,0,0,0,0,1,1,1,0,1,0,1,0,5,3W,2023
1129,SPEEGO VEHICLES CO PVT LTD,286,359,545,292,402,366,459,364,400,442,382,473,"4,770",3W,2023
1130,SPEEGO VEHICLES PVT. LTD,9,3,0,0,0,0,0,0,0,0,0,0,12,3W,2023
1131,SRD RENEWABLES,171,149,215,211,156,209,187,211,144,142,137,189,"2,121",3W,2023
1132,SSB INDISTRIES,110,152,164,154,190,240,160,240,248,191,205,194,"2,248",3W,2023
1133,SSEV ENTERPRISES PRIVATE LIMITED,43,91,57,61,58,64,88,85,50,75,26,69,767,3W,2023
1134,S S GLOBAL,0,0,0,0,0,0,2,1,1,0,2,0,6,3W,2023
1135,STAR BULL E MOTORS,186,128,242,206,180,156,186,166,162,128,135,202,"2,077",3W,2023
1136,STAR IGLOBAL AUTOMOTIVE PVT LTD,39,36,36,9,57,43,60,62,38,56,72,62,570,3W,2023
1137,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,2,10,8,14,1,8,6,17,21,24,24,40,175,3W,2023
1138,SUMFONL AUTO TRADERS PVT LTD,10,9,14,9,36,38,38,28,33,34,24,13,286,3W,2023
1139,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,0,0,3,8,11,3W,2023
1140,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,7,4,7,8,4,5,1,36,3W,2023
1141,SUNSET TRADE PVT LTD,38,25,16,24,33,25,35,38,20,53,38,32,377,3W,2023
1142,SUNSHINE TECHNOLOGIES,0,0,0,0,0,0,0,0,0,2,0,0,2,3W,2023
1143,SUNULTRA POWER SOLUTIONS PVT LTD,9,6,8,8,23,16,23,16,10,6,7,10,142,3W,2023
1144,SUPERECO AUTOMOTIVE CO,16,6,11,8,12,24,7,12,9,12,6,11,134,3W,2023
1145,SUPERECO AUTOMOTIVE CO LLP,0,0,0,0,1,0,0,0,0,0,0,0,1,3W,2023
1146,SUPER METRO INDUSTRIES,105,82,110,137,115,93,86,110,126,96,68,70,"1,198",3W,2023
1147,SUPER POWER MOTORS,0,0,0,0,0,0,0,0,0,0,0,2,2,3W,2023
1148,SUPERTECH EV LIMITED,122,146,204,167,181,155,182,164,170,183,178,168,"2,020",3W,2023
1149,SUPREME SMART POWER PVT LTD,23,29,20,25,47,44,39,48,58,20,25,56,434,3W,2023
1150,SUPROVA ENTERPRISE,0,0,0,0,0,0,0,2,1,0,1,0,4,3W,2023
1151,SURYA INTERNATIONAL,0,3,0,5,0,0,2,0,2,2,0,2,16,3W,2023
1152,SVS ENTERPRISES,0,0,0,5,3,9,16,14,8,14,4,11,84,3W,2023
1153,SWARNCHAKRA AUTOMOBILES PVT LTD,1,1,1,0,0,0,0,0,0,0,0,2,5,3W,2023
1154,SYNDICATE AUTO COMPONENTS,6,14,13,5,3,10,5,2,6,3,5,5,77,3W,2023
1155,TAO POWER PRIVATE LIMITED,0,0,0,1,3,1,0,0,1,4,0,1,11,3W,2023
1156,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,0,21,2,3,26,3W,2023
1157,TAURUS ELECTRIC VEHICLES,14,43,19,22,34,30,21,38,34,19,15,57,346,3W,2023
1158,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,1,3W,2023
1159,TERRA MOTORS INDIA PVT LTD,557,612,635,488,571,639,784,850,"1,029",948,883,815,"8,811",3W,2023
1160,THE COMMERCIAL MOTORS LIMITED,5,5,5,11,1,27,0,0,2,0,0,2,58,3W,2023
1161,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,4,3,0,0,0,0,0,1,8,3W,2023
1162,THUKRAL ELECTRIC BIKES PVT LTD,557,512,588,469,536,481,524,578,753,682,738,854,"7,272",3W,2023
1163,TI CLEAN MOBILITY PVT LTD,0,2,0,12,20,9,62,133,219,211,278,327,"1,273",3W,2023
1164,TOP TEAM MACHINES PVT LTD,157,93,120,160,117,126,144,137,149,244,142,154,"1,743",3W,2023
1165,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,1,8,2,0,4,4,37,57,3W,2023
1166,TRISHIKA INDUSTRIES,86,70,123,86,204,130,111,152,114,109,108,68,"1,361",3W,2023
1167,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,0,0,0,0,0,7,0,2,0,1,10,3W,2023
1168,TRUZ INDUSTRIES,0,0,0,0,0,0,0,0,0,1,2,0,3,3W,2023
1169,TSM ENGINEERING PVT LTD,3,11,44,9,8,7,33,33,44,40,28,36,296,3W,2023
1170,TSR TRADE COM,6,5,3,1,4,0,0,3,1,0,5,2,30,3W,2023
1171,TUFAN MOTORS PVT LTD,39,57,74,40,58,93,82,99,92,115,121,117,987,3W,2023
1172,T U K INDUSTRIES,148,135,166,182,224,212,276,287,238,341,266,370,"2,845",3W,2023
1173,TVS MOTOR COMPANY LTD,"1,368","1,334","1,515","1,141","1,276","1,423","1,377","1,539","1,422","1,584","1,588","1,605","17,172",3W,2023
1174,TWASHTRE AUTOMOTIVE PVT LTD,3,2,2,1,1,0,2,0,0,0,0,0,11,3W,2023
1175,TWINKLE TRADCOM PVT LTD,68,88,152,144,134,168,133,120,127,164,124,83,"1,505",3W,2023
1176,TWO FRIENDS AUTO ELECTRIC PVT LTD,307,267,354,290,319,442,299,300,329,274,300,367,"3,848",3W,2023
1177,UMA  AUTO INDUSTRIES PVT. LTD,4,1,6,3,17,21,21,8,12,19,15,10,137,3W,2023
1178,UMA MOTORS,8,7,15,21,29,22,14,24,16,15,15,25,211,3W,2023
1179,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,0,0,0,0,0,26,26,3W,2023
1180,UNIQUE ENTERPRISES,177,190,303,163,253,251,323,311,461,399,341,408,"3,580",3W,2023
1181,UNIQUE INTERNATIONAL,845,825,"1,149",883,"1,121","1,161","1,301","1,448","1,324","1,103","1,191","1,220","13,571",3W,2023
1182,UNITED TRANSMOVERS PVT LTD,24,17,25,21,27,26,24,18,37,11,10,32,272,3W,2023
1183,U P TELELINKS LIMITED,3,0,0,0,0,0,0,0,0,0,0,0,3,3W,2023
1184,U.P. TELELINKS LIMITED,220,161,165,185,156,192,180,201,246,212,255,265,"2,438",3W,2023
1185,URWASHI ENTERPRISES,2,16,28,24,35,37,52,42,33,44,19,23,355,3W,2023
1186,VAHAK FUTURE SOLUTIONS LLP,0,1,3,0,0,1,0,0,1,0,4,13,23,3W,2023
1187,VANI ELECTRIC VEHICLES PVT LTD,517,545,648,563,629,599,691,699,921,821,554,645,"7,832",3W,2023
1188,VEANCO AUTOMOTIVES PVT LTD,2,0,1,0,0,0,8,0,0,0,0,0,11,3W,2023
1189,VEECTERO E VEHICLES LLP,4,22,12,26,13,12,17,12,10,11,8,24,171,3W,2023
1190,VENUS AUTO WHEELS PVT LTD,51,39,63,41,48,65,56,55,55,47,29,25,574,3W,2023
1191,VICTORIA E VEHICLES PVT. LTD,0,0,2,0,2,0,11,1,3,2,4,0,25,3W,2023
1192,VICTORY ELECTRIC INTERNATIONAL,272,248,314,207,253,315,282,337,280,320,240,252,"3,320",3W,2023
1193,VIJAYA ELECTRIC AUTO PVT LTD,33,13,3,11,20,23,31,16,27,12,31,36,256,3W,2023
1194,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,254,269,475,430,354,435,409,476,408,439,388,470,"4,807",3W,2023
1195,VIJAYSHREE AUTOCOM LIMITED,25,13,19,7,16,14,13,26,11,12,12,13,181,3W,2023
1196,VIJEX STEEL FABRICATION,0,0,0,0,0,4,0,0,0,0,2,5,11,3W,2023
1197,VIMAL UNIVERSAL TRADE PVT LTD,42,41,62,62,102,79,81,99,80,89,51,43,831,3W,2023
1198,VINCI INDUSTRIAL CORPORATION,0,0,0,1,2,1,2,5,11,8,5,4,39,3W,2023
1199,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,1,0,2,3,4,17,32,20,3,3,4,3,92,3W,2023
1200,VISHAL ENTERPRISES,4,2,0,5,7,5,4,7,0,0,1,1,36,3W,2023
1201,VISHWAKARMA GNG INDUSTRY,2,3,4,0,7,8,14,35,10,12,12,16,123,3W,2023
1202,VISHWARUP ENTERPRISE,0,1,1,0,0,0,0,4,0,2,0,2,10,3W,2023
1203,VITAN JAGADA AUTOMOBILE PVT LTD,0,3,0,0,0,0,0,0,0,0,0,0,3,3W,2023
1204,VRINDA ENTERPRISES,30,45,104,78,91,64,96,104,135,136,119,78,"1,080",3W,2023
1205,V.T. ENGINEERING,1,0,1,1,0,2,0,2,0,0,2,0,9,3W,2023
1206,V.V.A.AUTO INDUSTRIES PVT.LTD,6,1,1,9,1,1,1,1,0,0,3,2,26,3W,2023
1207,WASAN E-MOBILITY SOLUTIONS PVT LTD,4,9,9,0,2,3,10,9,18,8,4,4,80,3W,2023
1208,WELKIN HEALTHCARE PVT LTD,1,1,1,0,11,4,0,5,3,1,0,3,30,3W,2023
1209,WOX COOLERS PVT LTD,0,1,0,0,1,0,0,0,0,0,0,0,2,3W,2023
1210,XXPLORE AUTOMATIVE PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0,2,3W,2023
1211,XXPLORE AUTOMOTIVE PVT. LIMITED,0,0,1,0,3,0,0,2,0,0,0,0,6,3W,2023
1212,YAARI AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3,3,3W,2023
1213,YC ELECTRIC VEHICLE,"2,372","2,617","3,097","2,839","3,244","3,471","3,594","3,986","3,991","4,068","3,690","3,818","40,787",3W,2023
1214,ZENIAK INNOVATION INDIA LTD,137,116,134,114,195,227,228,302,394,432,280,277,"2,836",3W,2023
1215,ZENTHIUM EV PVT LTD,27,31,30,43,64,44,50,86,87,87,72,98,719,3W,2023
1216,ZEOPLUS AXIS INDIA PVT. LTD.,159,105,233,163,270,245,319,330,417,457,393,472,"3,563",3W,2023
1217,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,1,0,1,1,2,1,1,0,0,4,11,3W,2023
1218,ZESAR MOTORS PVT LTD,0,0,0,0,0,1,27,0,0,0,9,0,37,3W,2023
1219,ZOHAN TRADERS AND BIG METRO,5,4,15,13,12,34,16,12,5,5,4,6,131,3W,2023
1220,3EV INDUSTRIES PVT LTD,49,2,0,0,0,0,0,19,0,0,0,0,70,3W,2024
1221,3S INDUSTRIES PRIVATE LIMITED,92,92,70,39,89,83,107,114,135,153,124,176,"1,274",3W,2024
1222,A1 HEAVY EQUIPMENTS DEVELOPER,1,3,3,1,1,1,0,3,1,2,0,1,17,3W,2024
1223,A-1 SUREJA INDUSTRIES,0,0,1,0,1,0,0,0,3,2,1,0,8,3W,2024
1224,AADHYA ENTERPRISES,58,67,28,43,38,25,47,55,58,45,67,40,571,3W,2024
1225,AADITYA GARBAGE PRODUCTS PVT LTD,1,0,2,1,0,0,0,0,0,0,1,0,5,3W,2024
1226,AAHANA COMMERCE PVT LTD,118,124,142,140,242,186,227,334,354,313,339,393,"2,912",3W,2024
1227,AAKK AUTO PVT LTD,0,0,0,1,2,5,7,11,5,16,7,6,60,3W,2024
1228,AARGEE ELECTRIC,0,0,0,0,0,0,4,0,2,1,3,0,10,3W,2024
1229,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,12,1,14,27,3W,2024
1230,A.B. AGRO ENGINEERING WORKS,0,0,0,0,1,0,0,0,8,0,1,0,10,3W,2024
1231,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,0,0,0,0,0,2,0,0,0,0,2,3W,2024
1232,ABZO MOTORS PVT LTD,5,3,6,6,18,6,4,2,5,7,4,2,68,3W,2024
1233,ACCPL INFRA FABTECH PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1,3W,2024
1234,ACCRETION POWER AUTOS,52,35,55,45,34,46,59,18,45,48,24,41,502,3W,2024
1235,ACTION CONSTRUCTION EQUIPMENT LTD.,880,"1,087","1,116",847,878,911,888,803,951,813,746,877,"10,797",3W,2024
1236,A D AGRO WORKS,7,17,11,13,2,4,9,14,11,9,1,7,105,3W,2024
1237,ADAPT MOTORS PVT LTD,1,0,0,1,0,0,0,0,0,0,0,0,2,3W,2024
1238,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,396,236,100,62,90,120,113,121,161,83,309,602,"2,393",3W,2024
1239,ADIDEV TECHNOA PVT LTD,86,94,152,108,116,160,199,168,215,125,160,104,"1,687",3W,2024
1240,ADISHAKTI TRACTORS,0,0,0,1,0,0,0,0,0,0,1,0,2,3W,2024
1241,ADISHWAR AUTO RIDE INDIA PVT LTD,24,30,19,24,14,19,23,19,18,23,23,10,246,3W,2024
1242,ADITYA AGRO INDUSTRIES,4,6,13,1,2,0,6,2,2,10,12,3,61,3W,2024
1243,ADITYA SAI INDUSTRIES,36,21,13,20,26,6,29,13,12,12,8,8,204,3W,2024
1244,ADM TECHNOLOGIES PVT. LTD.,16,13,18,13,29,14,48,41,26,23,22,42,305,3W,2024
1245,ADRIS ELECTRIC PVT LTD,1,2,3,1,0,0,1,0,0,0,0,0,8,3W,2024
1246,AERODRIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,12,12,3W,2024
1247,AEROEAGLE AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,3,22,12,37,3W,2024
1248,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,7,16,25,47,70,165,3W,2024
1249,AFTEK MOTORS INDIA PVT LTD,0,1,12,5,7,6,1,3,1,0,3,0,39,3W,2024
1250,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,1,0,0,0,0,1,1,0,3,3W,2024
1251,AGP ENGINEERING PRODUCTS,0,0,0,0,0,0,1,0,0,0,0,0,1,3W,2024
1252,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,2,0,0,0,0,2,0,4,3W,2024
1253,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,15,8,13,9,7,4,11,6,17,14,8,15,127,3W,2024
1254,AGRO INDUSTRIES,12,9,12,5,9,4,9,18,13,13,13,8,125,3W,2024
1255,AGRO TRAILERS AP312870751,0,0,0,0,1,0,0,0,0,0,0,0,1,3W,2024
1256,AHMED MOTORS,0,7,4,0,0,2,1,0,0,0,1,2,17,3W,2024
1257,AJANTA KRUSHI YANTRA,2,3,0,22,2,0,17,0,2,13,2,13,76,3W,2024
1258,AJAX ENGINEERING LTD,372,395,449,517,438,340,353,287,285,371,332,375,"4,514",3W,2024
1259,AJAX FIORI ENGINEERING PVT LTD,1,0,0,0,0,0,1,0,0,1,0,0,3,3W,2024
1260,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,0,0,0,0,0,0,0,0,1,1,6,9,3W,2024
1261,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,2,0,0,2,3W,2024
1262,AJAY ENTERPRISES,1,0,1,2,0,1,1,3,0,0,0,0,9,3W,2024
1263,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,0,0,0,0,0,0,0,1,1,4,6,3W,2024
1264,AJAY MOTORS PRIVATE LIMITED,15,10,5,11,24,22,22,13,16,26,17,14,195,3W,2024
1265,A.J ENTERPRISES,9,17,3,7,9,9,12,15,27,24,21,13,166,3W,2024
1266,AJIT ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1267,AKAL AGRO INDUSTRY,4,5,5,5,3,3,4,1,5,5,0,0,40,3W,2024
1268,AKASH TRAILOR,1,3,0,0,4,5,2,5,0,6,1,0,27,3W,2024
1269,AKG INTERNATIONAL,113,114,109,153,166,171,229,176,145,148,188,125,"1,837",3W,2024
1270,A K GUPTA & CO.,50,46,67,32,60,36,59,63,53,63,44,112,685,3W,2024
1271,AKMAAN MULTI MECH MACHINES,0,0,0,0,0,0,0,0,2,0,0,0,2,3W,2024
1272,A K S ENG AGRO INDUSTRIES,2,1,1,0,1,2,2,4,2,1,3,1,20,3W,2024
1273,ALBEDO VISION PVT LTD,0,0,0,0,2,2,0,2,0,0,0,0,6,3W,2024
1274,ALIED E MOBILITY PVT LTD,0,0,0,0,0,0,1,9,15,12,7,27,71,3W,2024
1275,ALLENTTI MOTORS PVT LTD,9,16,15,16,21,26,27,19,35,26,35,20,265,3W,2024
1276,ALLFINE INDUSTRIES PVT LTD,882,867,873,788,852,825,"1,126","1,064",794,711,273,235,"9,290",3W,2024
1277,ALL TERRAIN CRANE,114,65,87,109,93,96,92,78,83,74,45,200,"1,136",3W,2024
1278,ALPHA SERVICES,1,1,2,0,0,3,1,1,1,0,1,0,11,3W,2024
1279,ALTIER ELECTRIC VEHICLES PVT LTD,239,260,286,294,222,203,273,226,249,242,228,204,"2,926",3W,2024
1280,ALTIGREEN PROPULSION LABS PVT LTD,145,151,460,16,13,92,63,34,38,49,17,12,"1,090",3W,2024
1281,ALTIUS EV TECH PVT LTD,2,2,3,2,0,2,3,0,2,1,1,1,19,3W,2024
1282,ALTIUS TECHNOLOGIES,2,0,1,0,0,2,2,0,0,0,3,1,11,3W,2024
1283,ALVI AUTO,0,0,0,0,0,0,0,0,0,0,2,12,14,3W,2024
1284,AMAC INNOVATIVES,0,0,0,0,0,0,0,2,0,0,0,0,2,3W,2024
1285,AMAN AGRO INDUSTRIES,9,2,1,3,2,0,1,2,3,4,1,0,28,3W,2024
1286,AMAN AUTOMOBILES,6,7,2,6,18,9,7,9,6,0,3,1,74,3W,2024
1287,AMAN ELECTRIC VEHICLES,68,46,29,53,45,38,45,67,46,31,36,28,532,3W,2024
1288,AMAN ENTERPRISES BHPATNA,0,0,0,0,0,0,0,0,0,2,14,6,22,3W,2024
1289,AMAR ENGG. WORKS,2,2,0,0,0,0,0,1,0,1,0,1,7,3W,2024
1290,AMARJEET HARVESTER INDUSTRY,3,3,4,4,3,1,3,7,2,1,0,2,33,3W,2024
1291,AMBIKA ENTERPRISES,6,10,6,1,7,5,17,24,11,11,7,12,117,3W,2024
1292,AMBIKA INDUSTRIES,191,139,133,103,146,147,178,164,160,164,153,202,"1,880",3W,2024
1293,AMIR KHAN SAIFI STEEL WORKS,0,0,0,0,0,0,4,1,3,2,6,5,21,3W,2024
1294,AMMANN APOLLO INDIA PVT LTD,21,22,31,18,20,16,12,8,14,28,8,21,219,3W,2024
1295,AMO MOBILITY SOLUTIONS PVT LTD,17,13,16,4,12,5,18,6,11,5,3,12,122,3W,2024
1296,AMPERE VEHICLES PRIVATE LIMITED,178,122,139,164,103,99,44,105,45,25,20,45,"1,089",3W,2024
1297,AMRIT AGRO INDUSTRIES,1,0,1,0,0,0,0,0,0,0,0,0,2,3W,2024
1298,"AMRIT ENGG WORKS,DKL",7,1,5,12,5,4,3,1,0,0,0,0,38,3W,2024
1299,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,0,0,0,0,0,0,1,4,2,4,4,2,17,3W,2024
1300,AMW MOTORS LIMITED,0,0,0,0,0,0,0,2,0,0,0,0,2,3W,2024
1301,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,3,2,2,8,5,1,1,6,4,1,0,1,34,3W,2024
1302,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),1,0,0,1,0,1,0,0,0,0,1,0,4,3W,2024
1303,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,2,0,0,3,0,3,0,0,0,0,0,8,3W,2024
1304,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),13,12,5,7,2,0,0,3,0,0,0,0,42,3W,2024
1305,ANGAD AGRO INDUSTRIES,4,0,0,0,0,0,0,0,0,0,0,0,4,3W,2024
1306,ANJALI AUTO COMPONENTS,1,11,3,2,2,0,2,19,7,5,6,2,60,3W,2024
1307,ANJALI TRADERS,10,5,7,10,5,9,5,8,15,4,9,20,107,3W,2024
1308,ANNAPURNA INDUSTRIES,4,7,8,3,3,2,12,7,9,9,14,6,84,3W,2024
1309,ANOOP CYLINDERS PVT LTD,1,0,3,0,1,3,0,0,0,0,1,0,9,3W,2024
1310,"ANUP ENTERPRISES,SNG",0,0,0,0,0,4,0,0,0,0,0,0,4,3W,2024
1311,ANVITA AUTO TECH WORKS PVT LTD,0,1,1,0,1,1,1,0,0,0,0,0,5,3W,2024
1312,APARNA INDUSTRIES,15,6,4,0,3,2,0,0,5,1,1,0,37,3W,2024
1313,A P I MOTORS PVT LTD,63,47,65,54,48,49,50,43,39,54,43,44,599,3W,2024
1314,APM AUTO SALES,56,54,38,30,51,71,78,70,73,42,57,55,675,3W,2024
1315,APOLLO CARMIX EQUIPMENTS PVT LTD,20,10,16,6,9,9,10,6,10,5,7,7,115,3W,2024
1316,APSARA ENTERPRISE,67,77,58,58,90,84,231,184,209,198,126,169,"1,551",3W,2024
1317,APTEC EQUIPMENT PRIVATE LIMITED,1,1,0,1,3,1,1,0,0,2,0,0,10,3W,2024
1318,A R AGRO TECH,2,6,2,0,1,0,0,0,0,0,0,0,11,3W,2024
1319,ARCHIT ENTERPRISES,130,98,102,78,104,100,148,150,118,97,93,115,"1,333",3W,2024
1320,ARD EXIM,7,9,0,5,6,1,0,7,0,2,2,2,41,3W,2024
1321,ARIHANT ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,1,1,3W,2024
1322,ARMIX CONSTRUCTION MACHINERY PVT LTD,1,1,0,3,1,1,0,0,1,0,0,1,9,3W,2024
1323,A.R. MOTOR,0,0,0,10,36,27,84,51,81,57,63,53,462,3W,2024
1324,ARNA ELECTRIC AUTO PVT LTD,22,22,21,2,1,1,6,3,5,2,0,1,86,3W,2024
1325,ARROW AUTOMOTIVE,240,231,182,292,322,338,295,310,389,294,338,202,"3,433",3W,2024
1326,ARYAN INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,2,3,3W,2024
1327,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,3,0,3,7,3W,2024
1328,ASHA IMPEX,17,12,7,16,28,22,24,17,38,24,25,21,251,3W,2024
1329,ASHA METAL INDUSTRIES,0,0,1,0,0,0,1,0,0,0,0,0,2,3W,2024
1330,ASHLESHA POWER CONTROLS PVT LTD,0,0,0,0,0,1,1,0,0,1,0,0,3,3W,2024
1331,ASHMA-MOTORS PVT LTD,93,90,101,89,127,129,163,165,134,119,91,88,"1,389",3W,2024
1332,ASHNNI MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,4,0,0,5,3W,2024
1333,"ASHOK FABRIC & ENGG,RAIRAKHOL",0,1,2,0,1,0,0,0,0,0,0,0,4,3W,2024
1334,ASHOK LEYLAND DEFENCE SYSTEMS LTD,1,0,50,3,0,0,0,0,0,0,0,0,54,3W,2024
1335,ASHOK LEYLAND LTD,"14,806","15,620","15,452","16,665","13,764","11,492","14,015","12,136","12,690","15,985","12,920","11,722","1,67,267",3W,2024
1336,ASHWA ELECTRIC,0,1,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1337,ASIA BODY BUILDERS & MANUFACTURERS,0,2,0,0,0,0,0,1,0,0,0,0,3,3W,2024
1338,ASSAM FABRICATION WORKS,9,14,19,5,3,4,0,6,4,10,2,7,83,3W,2024
1339,ASSAM SAII MOTORS P LTD,1,0,0,0,0,0,0,0,0,0,0,0,1,3W,2024
1340,ASTON MARTIN LAGONDA LTD,0,0,2,2,1,1,4,1,2,0,0,2,15,3W,2024
1341,ATHER ENERGY LTD,"9,383","9,097","17,430","4,144","6,155","6,217","10,218","11,046","12,925","16,248","12,963","10,534","1,26,360",3W,2024
1342,ATTOLENT AUTO GROUP PVT LTD,53,72,66,58,59,38,56,53,67,43,32,34,631,3W,2024
1343,ATUL AUTO LTD,"2,077","1,969","2,183","1,764","2,450","2,025","2,376","2,102","2,182","3,212","2,509","2,232","27,081",3W,2024
1344,ATUL GREENTECH PRIVATE LIMITED,24,41,79,44,24,36,59,53,75,85,115,130,765,3W,2024
1345,ATUMOBILE PVT LTD,4,3,2,3,8,2,3,3,1,2,1,2,34,3W,2024
1346,ATUT SANGAM,273,234,187,222,176,222,246,196,198,199,174,163,"2,490",3W,2024
1347,AUDI AG,70,61,46,49,43,48,47,23,41,25,25,23,501,3W,2024
1348,AUM ENGINEERING AND WORKS,3,2,0,1,0,0,0,5,0,0,0,6,17,3W,2024
1349,AUTO CART LOGISTIC EQUIPMENT PVT LTD,0,0,0,0,0,0,5,4,0,0,0,0,9,3W,2024
1350,AUTOECO GREEN ENERGY PVT LTD,66,82,105,53,85,51,78,74,94,60,56,51,855,3W,2024
1351,AUTOEXIM HOUSE LLP,0,0,0,0,0,0,0,0,6,12,10,4,32,3W,2024
1352,AUTOHAUS PRIVATE LIMITED,0,0,0,2,0,0,0,0,1,0,0,0,3,3W,2024
1353,AUTOLITE (INDIA) LIMITED,0,0,0,0,1,0,0,0,0,0,0,0,1,3W,2024
1354,AUTOMOBILI LAMBORGHINI S.P.A,7,3,5,11,7,8,12,8,8,11,7,9,96,3W,2024
1355,AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,1,0,1,3W,2024
1356,A.V.AUTOMOTIVES PVT LTD,121,87,65,64,149,96,84,110,87,69,201,379,"1,512",3W,2024
1357,AVL ELECTRIC VEHICLES PVT LTD,244,243,280,241,302,277,334,329,340,308,258,306,"3,462",3W,2024
1358,AVON CYCLES LTD,51,36,106,63,68,37,60,47,37,43,42,50,640,3W,2024
1359,AVTAR ENGINEERING WORKS,0,0,0,4,5,3,1,0,3,1,0,2,19,3W,2024
1360,AWACHAT INDUSTRIES LTD,99,72,136,140,96,101,83,63,88,241,190,164,"1,473",3W,2024
1361,AYAAN ELECTRONIC PVT LTD,10,5,3,1,3,3,0,2,2,0,0,1,30,3W,2024
1362,B24 ROKET EV,63,59,110,113,108,104,99,100,115,80,107,150,"1,208",3W,2024
1363,BABA E-VEHICLES,79,63,57,52,117,79,62,71,47,56,49,53,785,3W,2024
1364,BABA HARI DAS FABRICATION,1,2,0,0,0,0,0,0,0,0,0,0,3,3W,2024
