vehicle_type,Maker,date,year,month,registrations,registrations_last_year,YoY_growth_%,quarter,year_quarter,year_quarter_quarterly,registrations_last_quarter,QoQ_growth_%
2W,ENGTIAN ELECTRIC BIKE PVT LTD,2023-01-01 00:00:00,2023,1,48,,,1,2023-Q1,2023-Q1,,
2W,ENIGMA AUTOMOBILES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ESCORTS R&D CENTRE,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,EVTRIC MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,50,,,1,2023-Q1,2023-Q1,,
2W,EXERVAL PVT LTD,2023-01-01 00:00:00,2023,1,6,,,1,2023-Q1,2023-Q1,,
2W,FIADO INDUSTRIES PVT LTD,2023-01-01 00:00:00,2023,1,4,,,1,2023-Q1,2023-Q1,,
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,FUJIYAMA POWER INFRA PVT. LTD.,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GODAWARI ELECTRIC MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GOGORO INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,GOREEN E-MOBILITY PVT LTD,2023-01-01 00:00:00,2023,1,298,,,1,2023-Q1,2023-Q1,,
2W,GREAVES ELECTRIC MOBILITY PVT LTD,2023-01-01 00:00:00,2023,1,87,,,1,2023-Q1,2023-Q1,,
2W,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),2023-01-01 00:00:00,2023,1,4,,,1,2023-Q1,2023-Q1,,
2W,H-D MOTOR COMPANY INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),2023-01-01 00:00:00,2023,1,22,,,1,2023-Q1,2023-Q1,,
2W,HAYASA E-MOBILITY (INDIA) PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HERO ELECTRIC VEHICLES PVT. LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HERO HONDA MOTORS  LTD,2023-01-01 00:00:00,2023,1,3,,,1,2023-Q1,2023-Q1,,
2W,HERO MOTOCORP LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HONDA CARS INDIA LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2023-01-01 00:00:00,2023,1,4,,,1,2023-Q1,2023-Q1,,
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HOP ELECTRIC MOBILITY PVT LTD,2023-01-01 00:00:00,2023,1,11,,,1,2023-Q1,2023-Q1,,
2W,HOUSTAN INNOVATION LLP,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,IDEAL JAWA INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,INDIA KAWASAKI MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,324,,,1,2023-Q1,2023-Q1,,
2W,INDIA YAMAHA MOTOR PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,IRA EDUTECH PVT LTD,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,IVOOMI INNOVATION PVT LTD,2023-01-01 00:00:00,2023,1,149,,,1,2023-Q1,2023-Q1,,
2W,IZANAU ELECTRIC LLP,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU AIMA (IMPORTER: FUTURE EV),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),2023-01-01 00:00:00,2023,1,29,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG (IMPORTER: SABOO TOR),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),2023-01-01 00:00:00,2023,1,9,,,1,2023-Q1,2023-Q1,,
2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),2023-01-01 00:00:00,2023,1,145,,,1,2023-Q1,2023-Q1,,
2W,JITENDRA NEW EV-TECH PVT. LTD,2023-01-01 00:00:00,2023,1,522,,,1,2023-Q1,2023-Q1,,
2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),2023-01-01 00:00:00,2023,1,5,,,1,2023-Q1,2023-Q1,,
2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),2023-01-01 00:00:00,2023,1,8,,,1,2023-Q1,2023-Q1,,
2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KABIRA MOBILITY LLP,2023-01-01 00:00:00,2023,1,23,,,1,2023-Q1,2023-Q1,,
2W,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
